"time","°C.mean_value"
"2024-01-30T14:00:00.000+04:00",
"2024-01-30T16:00:00.000+04:00",
"2024-01-30T18:00:00.000+04:00",
"2024-01-30T20:00:00.000+04:00",
"2024-01-30T22:00:00.000+04:00",
"2024-01-31T00:00:00.000+04:00",
"2024-01-31T02:00:00.000+04:00",
"2024-01-31T04:00:00.000+04:00",
"2024-01-31T06:00:00.000+04:00",
"2024-01-31T08:00:00.000+04:00",
"2024-01-31T10:00:00.000+04:00","22.15"
"2024-01-31T12:00:00.000+04:00","22.15"
"2024-01-31T14:00:00.000+04:00","22.050000000000004"
"2024-01-31T16:00:00.000+04:00","22"
"2024-01-31T18:00:00.000+04:00","21.95"
"2024-01-31T20:00:00.000+04:00","21.933333333333334"
"2024-01-31T22:00:00.000+04:00","21.95"
"2024-02-01T00:00:00.000+04:00","21.96666666666667"
"2024-02-01T02:00:00.000+04:00","21.939999999999998"
"2024-02-01T04:00:00.000+04:00",
"2024-02-01T06:00:00.000+04:00","21.96666666666667"
"2024-02-01T08:00:00.000+04:00","22.140000000000004"
"2024-02-01T10:00:00.000+04:00","22.05"
"2024-02-01T12:00:00.000+04:00","22.2"
"2024-02-01T14:00:00.000+04:00","22.275"
"2024-02-01T16:00:00.000+04:00","22.1"
"2024-02-01T18:00:00.000+04:00","22.150000000000002"
"2024-02-01T20:00:00.000+04:00","22.15"
"2024-02-01T22:00:00.000+04:00","22.233333333333334"
"2024-02-02T00:00:00.000+04:00",
"2024-02-02T02:00:00.000+04:00","22.259999999999998"
"2024-02-02T04:00:00.000+04:00","22.4"
"2024-02-02T06:00:00.000+04:00",
"2024-02-02T08:00:00.000+04:00","22.450000000000003"
"2024-02-02T10:00:00.000+04:00","22.53333333333333"
"2024-02-02T12:00:00.000+04:00","22.566666666666666"
"2024-02-02T14:00:00.000+04:00","22.5"
"2024-02-02T16:00:00.000+04:00","22.6"
"2024-02-02T18:00:00.000+04:00","22.54"
"2024-02-02T20:00:00.000+04:00","22.566666666666666"
"2024-02-02T22:00:00.000+04:00","22.65"
"2024-02-03T00:00:00.000+04:00","22.7"
"2024-02-03T02:00:00.000+04:00","22.633333333333336"
"2024-02-03T04:00:00.000+04:00",
"2024-02-03T06:00:00.000+04:00","22.55"
"2024-02-03T08:00:00.000+04:00",
"2024-02-03T10:00:00.000+04:00","22.5"
"2024-02-03T12:00:00.000+04:00","22.566666666666666"
"2024-02-03T14:00:00.000+04:00",
"2024-02-03T16:00:00.000+04:00","22.55"
"2024-02-03T18:00:00.000+04:00","22.65"
"2024-02-03T20:00:00.000+04:00",
"2024-02-03T22:00:00.000+04:00","22.55"
"2024-02-04T00:00:00.000+04:00",
"2024-02-04T02:00:00.000+04:00",
"2024-02-04T04:00:00.000+04:00",
"2024-02-04T06:00:00.000+04:00","22.55"
"2024-02-04T08:00:00.000+04:00","22.6"
"2024-02-04T10:00:00.000+04:00","22.666666666666668"
"2024-02-04T12:00:00.000+04:00","22.6"
"2024-02-04T14:00:00.000+04:00","22.549999999999997"
"2024-02-04T16:00:00.000+04:00","22.5"
"2024-02-04T18:00:00.000+04:00","22.240000000000002"
"2024-02-04T20:00:00.000+04:00","22.133333333333336"
"2024-02-04T22:00:00.000+04:00","22.05"
"2024-02-05T00:00:00.000+04:00","22.016666666666666"
"2024-02-05T02:00:00.000+04:00","22"
"2024-02-05T04:00:00.000+04:00","21.939999999999998"
"2024-02-05T06:00:00.000+04:00","21.98"
"2024-02-05T08:00:00.000+04:00","22.12"
"2024-02-05T10:00:00.000+04:00","22.266666666666666"
"2024-02-05T12:00:00.000+04:00","22.166666666666668"
"2024-02-05T14:00:00.000+04:00","22.140000000000004"
"2024-02-05T16:00:00.000+04:00","22.03333333333333"
"2024-02-05T18:00:00.000+04:00","22.05"
"2024-02-05T20:00:00.000+04:00","22.057142857142857"
"2024-02-05T22:00:00.000+04:00","22.049999999999997"
"2024-02-06T00:00:00.000+04:00","22.04"
"2024-02-06T02:00:00.000+04:00","22.05"
"2024-02-06T04:00:00.000+04:00","22.060000000000002"
"2024-02-06T06:00:00.000+04:00","22.049999999999997"
"2024-02-06T08:00:00.000+04:00","22.225"
"2024-02-06T10:00:00.000+04:00","22.2"
"2024-02-06T12:00:00.000+04:00","22.166666666666668"
"2024-02-06T14:00:00.000+04:00","22.12"
"2024-02-06T16:00:00.000+04:00","22.057142857142857"
"2024-02-06T18:00:00.000+04:00","22.049999999999997"
"2024-02-06T20:00:00.000+04:00","22.05"
"2024-02-06T22:00:00.000+04:00","22.05"
"2024-02-07T00:00:00.000+04:00","22.049999999999997"
"2024-02-07T02:00:00.000+04:00","22.04"
"2024-02-07T04:00:00.000+04:00","22.066666666666666"
"2024-02-07T06:00:00.000+04:00","22.099999999999998"
"2024-02-07T08:00:00.000+04:00",
