"time","kWh.mean_value"
"2024-01-26T13:20:00.000+04:00","0"
"2024-01-26T18:24:00.000+04:00",
"2024-01-26T23:28:00.000+04:00",
"2024-01-27T04:32:00.000+04:00","0.082"
"2024-01-27T09:36:00.000+04:00",
"2024-01-27T14:40:00.000+04:00",
"2024-01-27T19:44:00.000+04:00",
"2024-01-28T00:48:00.000+04:00","0"
"2024-01-28T05:52:00.000+04:00","0.0985"
"2024-01-28T10:56:00.000+04:00",
"2024-01-28T16:00:00.000+04:00","0.102"
"2024-01-28T21:04:00.000+04:00",
"2024-01-29T02:08:00.000+04:00","0"
"2024-01-29T07:12:00.000+04:00","0.06525"
"2024-01-29T12:16:00.000+04:00","0.239875"
"2024-01-29T17:20:00.000+04:00",
"2024-01-29T22:24:00.000+04:00","0"
"2024-01-30T03:28:00.000+04:00",
"2024-01-30T08:32:00.000+04:00",
"2024-01-30T13:36:00.000+04:00",
"2024-01-30T18:40:00.000+04:00",
"2024-01-30T23:44:00.000+04:00",
"2024-01-31T04:48:00.000+04:00","0.015"
"2024-01-31T09:52:00.000+04:00","0.13083333333333336"
"2024-01-31T14:56:00.000+04:00","0.222"
"2024-01-31T20:00:00.000+04:00",
"2024-02-01T01:04:00.000+04:00","0"
"2024-02-01T06:08:00.000+04:00","0.11000000000000001"
"2024-02-01T11:12:00.000+04:00","0.22849999999999998"
"2024-02-01T16:16:00.000+04:00","0.29"
"2024-02-01T21:20:00.000+04:00",
"2024-02-02T02:24:00.000+04:00","0"
"2024-02-02T07:28:00.000+04:00",
"2024-02-02T12:32:00.000+04:00",
"2024-02-02T17:36:00.000+04:00",
"2024-02-02T22:40:00.000+04:00",
"2024-02-03T03:44:00.000+04:00",
"2024-02-03T08:48:00.000+04:00",
"2024-02-03T13:52:00.000+04:00","0"
"2024-02-03T18:56:00.000+04:00",
"2024-02-04T00:00:00.000+04:00",
"2024-02-04T05:04:00.000+04:00","0.129"
"2024-02-04T10:08:00.000+04:00","0.1375"
"2024-02-04T15:12:00.000+04:00",
"2024-02-04T20:16:00.000+04:00",
"2024-02-05T01:20:00.000+04:00","0"
"2024-02-05T06:24:00.000+04:00","0.063"
"2024-02-05T11:28:00.000+04:00","0.14800000000000002"
"2024-02-05T16:32:00.000+04:00","0.169"
"2024-02-05T21:36:00.000+04:00",
"2024-02-06T02:40:00.000+04:00","0"
"2024-02-06T07:44:00.000+04:00","0.089"
"2024-02-06T12:48:00.000+04:00","0.2067142857142857"
"2024-02-06T17:52:00.000+04:00",
"2024-02-06T22:56:00.000+04:00","0"
"2024-02-07T04:00:00.000+04:00",
"2024-02-07T09:04:00.000+04:00","0.09207692307692308"
"2024-02-07T14:08:00.000+04:00","0.163"
"2024-02-07T19:12:00.000+04:00",
"2024-02-08T00:16:00.000+04:00","0"
"2024-02-08T05:20:00.000+04:00","0.034"
"2024-02-08T10:24:00.000+04:00","0.1751666666666667"
"2024-02-08T15:28:00.000+04:00",
"2024-02-08T20:32:00.000+04:00",
"2024-02-09T01:36:00.000+04:00","0"
"2024-02-09T06:40:00.000+04:00",
"2024-02-09T11:44:00.000+04:00","0"
"2024-02-09T16:48:00.000+04:00",
"2024-02-09T21:52:00.000+04:00",
"2024-02-10T02:56:00.000+04:00",
"2024-02-10T08:00:00.000+04:00","0.059"
"2024-02-10T13:04:00.000+04:00",
"2024-02-10T18:08:00.000+04:00",
"2024-02-10T23:12:00.000+04:00","0"
"2024-02-11T04:16:00.000+04:00",
"2024-02-11T09:20:00.000+04:00","0.09699999999999999"
"2024-02-11T14:24:00.000+04:00","0.106"
"2024-02-11T19:28:00.000+04:00",
"2024-02-12T00:32:00.000+04:00","0"
"2024-02-12T05:36:00.000+04:00","0.04025"
"2024-02-12T10:40:00.000+04:00","0.1398"
"2024-02-12T15:44:00.000+04:00",
"2024-02-12T20:48:00.000+04:00",
"2024-02-13T01:52:00.000+04:00","0"
"2024-02-13T06:56:00.000+04:00","0.072"
"2024-02-13T12:00:00.000+04:00","0.154"
"2024-02-13T17:04:00.000+04:00",
"2024-02-13T22:08:00.000+04:00","0"
"2024-02-14T03:12:00.000+04:00","0.019"
"2024-02-14T08:16:00.000+04:00","0.07949999999999999"
"2024-02-14T13:20:00.000+04:00","0.1305"
"2024-02-14T18:24:00.000+04:00",
"2024-02-14T23:28:00.000+04:00","0"
"2024-02-15T04:32:00.000+04:00",
"2024-02-15T09:36:00.000+04:00","0.1478"
"2024-02-15T14:40:00.000+04:00","0.26475000000000004"
"2024-02-15T19:44:00.000+04:00","0.268"
"2024-02-16T00:48:00.000+04:00","0.17866666666666667"
"2024-02-16T05:52:00.000+04:00",
"2024-02-16T10:56:00.000+04:00","0"
"2024-02-16T16:00:00.000+04:00",
"2024-02-16T21:04:00.000+04:00",
"2024-02-17T02:08:00.000+04:00",
"2024-02-17T07:12:00.000+04:00","0.106"
"2024-02-17T12:16:00.000+04:00",
"2024-02-17T17:20:00.000+04:00",
"2024-02-17T22:24:00.000+04:00","0"
"2024-02-18T03:28:00.000+04:00",
"2024-02-18T08:32:00.000+04:00","0.065"
"2024-02-18T13:36:00.000+04:00",
"2024-02-18T18:40:00.000+04:00",
"2024-02-18T23:44:00.000+04:00","0"
"2024-02-19T04:48:00.000+04:00","0.015666666666666666"
"2024-02-19T09:52:00.000+04:00","0.1398"
"2024-02-19T14:56:00.000+04:00",
"2024-02-19T20:00:00.000+04:00",
"2024-02-20T01:04:00.000+04:00","0"
"2024-02-20T06:08:00.000+04:00","0.05266666666666667"
"2024-02-20T11:12:00.000+04:00","0.18683333333333332"
"2024-02-20T16:16:00.000+04:00",
"2024-02-20T21:20:00.000+04:00",
"2024-02-21T02:24:00.000+04:00","0"
"2024-02-21T07:28:00.000+04:00","0.08700000000000001"
"2024-02-21T12:32:00.000+04:00","0.19099999999999998"
"2024-02-21T17:36:00.000+04:00",
"2024-02-21T22:40:00.000+04:00","0"
"2024-02-22T03:44:00.000+04:00","0.006"
"2024-02-22T08:48:00.000+04:00","0.10071428571428573"
"2024-02-22T13:52:00.000+04:00","0.26975"
"2024-02-22T18:56:00.000+04:00",
"2024-02-23T00:00:00.000+04:00","0"
"2024-02-23T05:04:00.000+04:00",
"2024-02-23T10:08:00.000+04:00",
"2024-02-23T15:12:00.000+04:00",
"2024-02-23T20:16:00.000+04:00",
"2024-02-24T01:20:00.000+04:00",
"2024-02-24T06:24:00.000+04:00","0.07500000000000001"
"2024-02-24T11:28:00.000+04:00","0.085"
"2024-02-24T16:32:00.000+04:00",
"2024-02-24T21:36:00.000+04:00",
"2024-02-25T02:40:00.000+04:00","0"
"2024-02-25T07:44:00.000+04:00","0.043"
"2024-02-25T12:48:00.000+04:00",
"2024-02-25T17:52:00.000+04:00",
"2024-02-25T22:56:00.000+04:00","0"
"2024-02-26T04:00:00.000+04:00",
"2024-02-26T09:04:00.000+04:00","0.10011111111111111"
"2024-02-26T14:08:00.000+04:00","0.185"
"2024-02-26T19:12:00.000+04:00",
"2024-02-27T00:16:00.000+04:00","0"
"2024-02-27T05:20:00.000+04:00","0.08249999999999999"
"2024-02-27T10:24:00.000+04:00","0.225125"
"2024-02-27T15:28:00.000+04:00","0.324"
"2024-02-27T20:32:00.000+04:00",
"2024-02-28T01:36:00.000+04:00","0"
"2024-02-28T06:40:00.000+04:00","0.052000000000000005"
"2024-02-28T11:44:00.000+04:00","0.12140000000000002"
"2024-02-28T16:48:00.000+04:00",
"2024-02-28T21:52:00.000+04:00",
"2024-02-29T02:56:00.000+04:00","0"
"2024-02-29T08:00:00.000+04:00","0.15622222222222223"
"2024-02-29T13:04:00.000+04:00","0.297"
