"time","W.mean_value"
"2024-01-07T13:20:00.000+04:00","54.166666666666664"
"2024-01-07T18:24:00.000+04:00","48.666666666666664"
"2024-01-07T23:28:00.000+04:00",
"2024-01-08T04:32:00.000+04:00","63.69230769230769"
"2024-01-08T09:36:00.000+04:00","76.75"
"2024-01-08T14:40:00.000+04:00","66.51428571428572"
"2024-01-08T19:44:00.000+04:00","55.96666666666667"
"2024-01-09T00:48:00.000+04:00","58.36585365853659"
"2024-01-09T05:52:00.000+04:00","76.69047619047619"
"2024-01-09T10:56:00.000+04:00","68.25925925925925"
"2024-01-09T16:00:00.000+04:00","55.22857142857143"
"2024-01-09T21:04:00.000+04:00","60.63636363636363"
"2024-01-10T02:08:00.000+04:00","57.84375"
"2024-01-10T07:12:00.000+04:00","68.07142857142857"
"2024-01-10T12:16:00.000+04:00","87.70588235294117"
"2024-01-10T17:20:00.000+04:00","60.90625"
"2024-01-10T22:24:00.000+04:00","53.241379310344826"
"2024-01-11T03:28:00.000+04:00","61.27272727272727"
"2024-01-11T08:32:00.000+04:00","78.25"
"2024-01-11T13:36:00.000+04:00","64.10714285714286"
"2024-01-11T18:40:00.000+04:00","53.60606060606061"
"2024-01-11T23:44:00.000+04:00","53.05555555555556"
"2024-01-12T04:48:00.000+04:00","78.34210526315789"
"2024-01-12T09:52:00.000+04:00","40.57142857142857"
"2024-01-12T14:56:00.000+04:00","71"
"2024-01-12T20:00:00.000+04:00","52.09090909090909"
"2024-01-13T01:04:00.000+04:00","59.84615384615385"
"2024-01-13T06:08:00.000+04:00","59.095238095238095"
"2024-01-13T11:12:00.000+04:00","65.28571428571429"
"2024-01-13T16:16:00.000+04:00","64.05882352941177"
"2024-01-13T21:20:00.000+04:00","53.793103448275865"
"2024-01-14T02:24:00.000+04:00","55.81818181818182"
"2024-01-14T07:28:00.000+04:00","56.76315789473684"
"2024-01-14T12:32:00.000+04:00","55.853658536585364"
"2024-01-14T17:36:00.000+04:00","48.114285714285714"
"2024-01-14T22:40:00.000+04:00","65.75675675675676"
"2024-01-15T03:44:00.000+04:00","58.47222222222222"
"2024-01-15T08:48:00.000+04:00","67.7741935483871"
"2024-01-15T13:52:00.000+04:00","82.47222222222223"
"2024-01-15T18:56:00.000+04:00","56.46875"
"2024-01-16T00:00:00.000+04:00","58.83870967741935"
"2024-01-16T05:04:00.000+04:00","70.66666666666667"
"2024-01-16T10:08:00.000+04:00","67.83870967741936"
"2024-01-16T15:12:00.000+04:00","75.97222222222223"
"2024-01-16T20:16:00.000+04:00","57.42857142857143"
"2024-01-17T01:20:00.000+04:00","48.84848484848485"
"2024-01-17T06:24:00.000+04:00","67.8108108108108"
"2024-01-17T11:28:00.000+04:00","89.15625"
"2024-01-17T16:32:00.000+04:00","60.74193548387097"
